TABLE NUMBER AND CONTENTS,DATA DICTIONARY REFERENCE NAME,SEGMENT,MAX SIZE,DATA TYPE,NOTES
White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0010064,01,9,N,
White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,P0010065,01,9,N,
White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010066,01,9,N,
White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010067,01,9,N,
White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010068,01,9,N,
Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010069,01,9,N,
Population of six races:,P0010070,01,9,N,
White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010071,01,9,N,
Total:,P0020001,01,9,N,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]"
Hispanic or Latino,P0020002,01,9,N,Universe: Total population
Not Hispanic or Latino:,P0020003,01,9,N,
Population of one race:,P0020004,01,9,N,
White alone,P0020005,01,9,N,
Black or African American alone,P0020006,01,9,N,
American Indian and Alaska Native alone,P0020007,01,9,N,
Asian alone,P0020008,01,9,N,
Native Hawaiian and Other Pacific Islander alone,P0020009,01,9,N,
Some Other Race alone,P0020010,01,9,N,
Population of two or more races:,P0020011,01,9,N,
Population of two races:,P0020012,01,9,N,
White; Black or African American,P0020013,01,9,N,
White; American Indian and Alaska Native,P0020014,01,9,N,
White; Asian,P0020015,01,9,N,
White; Native Hawaiian and Other Pacific Islander,P0020016,01,9,N,
White; Some Other Race,P0020017,01,9,N,
Black or African American; American Indian and Alaska Native,P0020018,01,9,N,
Black or African American; Asian,P0020019,01,9,N,
Black or African American; Native Hawaiian and Other Pacific Islander,P0020020,01,9,N,
Black or African American; Some Other Race,P0020021,01,9,N,
American Indian and Alaska Native; Asian,P0020022,01,9,N,
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0020023,01,9,N,
American Indian and Alaska Native; Some Other Race,P0020024,01,9,N,
Asian; Native Hawaiian and Other Pacific Islander,P0020025,01,9,N,
Asian; Some Other Race,P0020026,01,9,N,
Native Hawaiian and Other Pacific Islander; Some Other Race,P0020027,01,9,N,
Population of three races:,P0020028,01,9,N,
White; Black or African American; American Indian and Alaska Native,P0020029,01,9,N,
White; Black or African American; Asian,P0020030,01,9,N,
White; Black or African American; Native Hawaiian and Other Pacific Islander,P0020031,01,9,N,
White; Black or African American; Some Other Race,P0020032,01,9,N,
White; American Indian and Alaska Native; Asian,P0020033,01,9,N,
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0020034,01,9,N,
White; American Indian and Alaska Native; Some Other Race,P0020035,01,9,N,
White; Asian; Native Hawaiian and Other Pacific Islander,P0020036,01,9,N,
White; Asian; Some Other Race,P0020037,01,9,N,
White; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020038,01,9,N,
Black or African American; American Indian and Alaska Native; Asian,P0020039,01,9,N,
Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0020040,01,9,N,
Black or African American; American Indian and Alaska Native; Some Other Race,P0020041,01,9,N,
Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0020042,01,9,N,
Black or African American; Asian; Some Other Race,P0020043,01,9,N,
Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020044,01,9,N,
American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0020045,01,9,N,
American Indian and Alaska Native; Asian; Some Other Race,P0020046,01,9,N,
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020047,01,9,N,
Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020048,01,9,N,
Population of four races:,P0020049,01,9,N,
White; Black or African American; American Indian and Alaska Native; Asian,P0020050,01,9,N,
White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0020051,01,9,N,
White; Black or African American; American Indian and Alaska Native; Some Other Race,P0020052,01,9,N,
White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0020053,01,9,N,
White; Black or African American; Asian; Some Other Race,P0020054,01,9,N,
White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020055,01,9,N,
White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0020056,01,9,N,
White; American Indian and Alaska Native; Asian; Some Other Race,P0020057,01,9,N,
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020058,01,9,N,
White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020059,01,9,N,
Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0020060,01,9,N,
Black or African American; American Indian and Alaska Native; Asian; Some Other Race,P0020061,01,9,N,
Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020062,01,9,N,
Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020063,01,9,N,
American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020064,01,9,N,
Population of five races:,P0020065,01,9,N,
White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0020066,01,9,N,
White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,P0020067,01,9,N,
White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020068,01,9,N,
White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020069,01,9,N,
White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020070,01,9,N,
Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020071,01,9,N,
Population of six races:,P0020072,01,9,N,
White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0020073,01,9,N,
